SchoolYear,Total Enrolled in an IHE within 0-48 months,Total % Enrolled in an IHE within 0-48 months,Total Accumulating 24 Credits within 0-12 months,Total % Accumulating 24 Credits  within 0-12 months,Total Accumulating 24 Credits within 0-16 months,Total % Accumulating 24 Credits  within 0-16 months,Total Accumulating 24 Credits within 0-24 months,Total % Accumulating 24 Credits  within 0-24 months,ISD Code,ISD OfficialName,DistrictCode,DistrictOfficialName,BuildingCode,BuildingOfficialName,CharterName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,IHE Type,Subgroup,Gender,Total Graduates (All Students),Total Enrolled in an IHE within 0-6 months,Total % Enrolled in an IHE within 0-6 months,Total Enrolled in an IHE within 0-12 months,Total % Enrolled in an IHE within 0-12 months,Total Enrolled in an IHE within 0-16 months,Total % Enrolled in an IHE within 0-16 months,Total Enrolled in an IHE within 0-24 months,Total % Enrolled in an IHE within 0-24 months,Total Enrolled in an IHE within 0-36 months,Total % Enrolled in an IHE within 0-36 months
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,All,White,Female,<10,<10,>95%,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,All,All Students,All Students,110,40,36.3636,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Two Year,All Students,All Students,110,23,20.9091,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,All,African American,Male,60,15,25,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,All,All Students,Male,61,16,26.2295,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Four Year,Students With Disabilities,All Students,22,<10,9.0909,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Two Year,African American,Female,48,14,29.1667,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Two Year,Students With Disabilities,All Students,22,<10,9.0909,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,All,African American,All Students,108,38,35.1852,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,All,White,All Students,<10,<10,>95%,,,,,,,,
